Question,Answer
"Question: I have 2 flutes, 1 trombone, 5 accordions. How many musical instruments do I have?",Answer: 8
"Question: I have 3 trumpets, 4 pianos, 5 violins, 2 trombones, 5 clarinets, 1 accordion, 2 flutes. How many musical instruments do I have?",Answer: 22
"Question: I have 1 flute, 2 trombones, 2 drums, 1 trumpet. How many musical instruments do I have?",Answer: 6
"Question: I have 5 pianos, 4 trombones, 4 violins, 2 clarinets, 2 accordions, 1 flute, 5 trumpets. How many musical instruments do I have?",Answer: 23
"Question: I have 5 violins, 4 clarinets, 3 trumpets, 5 trombones, 3 drums, 1 piano. How many musical instruments do I have?",Answer: 21
"Question: I have 4 capsicums, 3 garlics, 3 cucumbers, 5 corn cobs, 3 onions. How many vegetables do I have?",Answer: 18
"Question: I have 2 garlics, 4 mushrooms, 4 shallots, 4 carrots, 2 onions. How many vegetables do I have?",Answer: 16
"Question: I have 4 onions, 4 cabbages, 4 zucchinis, 4 capsicums, 2 cucumbers. How many vegetables do I have?",Answer: 18
"Question: I have 1 cabbage, 2 shallots, 5 garlics, 3 onions, 3 zucchinis, 2 carrots, 4 corn cobs, 5 capsicums, 1 cucumber. How many vegetables do I have?",Answer: 26
"Question: I have 2 garlics, 2 onions, 5 cabbages, 5 zucchinis, 5 capsicums, 4 corn cobs, 4 cucumbers, 2 mushrooms, 3 carrots. How many vegetables do I have?",Answer: 32
"Question: I have 3 pomegranates, 4 oranges, 2 papayas, 4 limes, 5 bananas, 3 pineapples. How many fruits do I have?",Answer: 21
"Question: I have 1 pineapple, 2 pears, 5 bananas, 2 cantaloupes, 5 apricots, 4 kiwis, 1 orange, 4 papayas, 3 lemons, 2 grapes, 3 mangos. How many fruits do I have?",Answer: 32
"Question: I have 3 watermelons, 1 apricot, 4 pomegranates, 3 bananas, 4 grapes, 5 apples, 3 plums, 3 pears, 1 lemon, 4 pineapples, 1 papaya, 5 mangos, 5 oranges, 1 kiwi, 3 limes. How many fruits do I have?",Answer: 46
"Question: I have 5 grapes, 4 apples, 1 pear, 1 pineapple, 5 cantaloupes, 1 banana, 3 limes. How many fruits do I have?",Answer: 20
"Question: I have 3 plums, 1 lime, 1 papaya, 3 apricots, 1 banana, 2 mangos, 2 watermelons, 5 pomegranates, 2 oranges, 1 cantaloupe, 3 apples, 1 grape, 1 pineapple. How many fruits do I have?",Answer: 26"Question: I have 3 index cards, 4 folders, 2 pens, 5 calculators, 2 whiteboards, 4 sticky notes, 3 binders, 5 erasers, 3 highlighters, 3 notebooks. How many fruits do I have?",Answer: 34
"Question: I have 2 pencils, 2 staplers, 2 rulers, 5 highlighters, 1 whiteboard, 5 paper clips, 1 marker, 2 binders, 5 sticky notes, 1 index card, 4 chart papers, 5 calculators, 4 erasers, 1 pen, 3 folders, 2 file organizers, 4 notebooks. How many items do I have?",Answer: 49
"Question: I have 4 whiteboards, 5 file organizers, 4 highlighters, 3 chart papers, 2 calculators, 2 paper clips, 4 pencils. How many items do I have?",Answer: 24
"Question: I have 5 rulers, 3 paper clips, 1 pencil, 1 folder, 3 whiteboards, 3 sticky notes, 1 index card, 2 pens, 5 chart papers, 2 notebooks, 5 file organizers, 5 calculators. How many items do I have?",Answer: 36
"Question: I have 2 folders, 3 pencils, 1 calculator, 3 chart papers, 3 index cards, 5 staplers, 1 notebook, 1 pen, 5 file organizers, 5 rulers, 4 erasers. How many items do I have?",Answer: 33
"Question: I have 4 staplers, 5 markers, 5 pencils, 4 binders, 4 whiteboards. How many items do I have?",Answer: 22
"Question: I have 2 helicopters, 5 trains, 5 tractors. How many vehicles do I have?",Answer: 12
"Question: I have 5 trains, 1 van, 1 hovercraft, 1 helicopter, 1 motorcycle, 2 golf carts, 4 tractors, 5 boats. How many vehicles do I have?",Answer: 20
"Question: I have 3 trucks, 4 submarines, 5 helicopters, 1 train, 5 bicycles, 2 boats, 5 vans. How many vehicles do I have?",Answer: 25
"Question: I have 4 hovercrafts, 2 skateboards, 1 van, 5 tractors, 5 boats, 3 submarines, 2 golf carts, 3 cars, 1 scooter, 3 motorcycles, 1 helicopter, 3 airplanes, 1 ship, 5 trucks, 4 bicycles, 4 trains. How many vehicles do I have?",Answer: 47
"Question: I have 2 boats, 2 trucks, 5 cars. How many vehicles do I have?",Answer: 9
"Question: I have 4 ships, 5 helicopters, 3 airplanes. How many vehicles do I have?",Answer: 12
"Question: I have 3 tractors, 5 trains, 1 van, 3 hovercrafts, 3 ships, 5 submarines, 2 trucks, 3 helicopters, 2 boats, 5 skateboards, 2 airplanes. How many vehicles do I have?",Answer: 34
"Question: I have 2 airplanes, 2 trucks, 5 ships, 3 golf carts, 1 submarine, 4 scooters, 5 bicycles, 5 vans, 3 helicopters, 1 boat, 5 trains, 2 tractors. How many vehicles do I have?",Answer: 38
"Question: I have 2 tractors, 5 helicopters, 2 vans, 4 airplanes, 5 bicycles, 5 hovercrafts, 1 submarine, 1 car, 5 trains, 5 ships, 1 scooter, 2 motorcycles, 5 skateboards, 4 trucks, 1 golf cart. How many vehicles do I have?",Answer: 48
"Question: I have 3 skateboards, 2 trucks, 3 submarines, 4 vans, 2 cars, 3 motorcycles, 1 hovercraft, 4 golf carts, 3 boats, 4 airplanes, 1 scooter, 1 tractor, 5 trains, 3 ships, 3 bicycles. How many vehicles do I have?",Answer: 42
"Question: I have 3 carrots, 5 cucumbers, 2 cabbages, 3 zucchinis. How many vegetables do I have?",Answer: 13
"Question: I have 4 shallots, 2 capsicums, 4 cucumbers, 5 carrots, 2 zucchinis, 3 cabbages, 5 onions, 1 corn cob. How many vegetables do I have?",Answer: 26
"Question: I have 2 corn cobs, 2 mushrooms, 3 shallots, 1 onion, 4 carrots, 4 zucchinis, 4 cucumbers, 3 cabbages, 1 garlic, 4 capsicums. How many vegetables do I have?",Answer: 28
"Question: I have 2 carrots, 3 garlics, 5 shallots, 5 capsicums, 4 corn cobs, 2 zucchinis, 3 onions, 3 cabbages, 5 cucumbers. How many vegetables do I have?",Answer: 32
"Question: I have 3 carrots, 2 onions, 1 cucumber, 3 cabbages, 5 mushrooms, 2 garlics, 2 shallots, 1 capsicum, 1 corn cob, 1 zucchini. How many vegetables do I have?",Answer: 21
"Question: I have 2 pears, 2 apples, 2 oranges, 1 lime, 3 mangos, 2 plums, 5 apricots, 2 pomegranates, 1 pineapple, 2 cantaloupes, 1 lemon, 2 grapes, 4 bananas. How many fruits do I have?",Answer: 29
"Question: I have 3 bananas, 3 oranges, 4 lemons, 3 kiwis, 3 apricots, 2 grapes, 3 mangos, 2 pears, 4 papayas. How many fruits do I have?",Answer: 27
"Question: I have 1 banana, 3 pears, 2 grapes, 4 pomegranates, 4 apples, 3 pineapples, 3 plums. How many fruits do I have?",Answer: 20
