num_constraints,constraints,question,seed_id
3,"['round-trip', 'San Francisco to Paris', 'departing in two weeks']",Could you find a round-trip flight from San Francisco to Paris departing in two weeks?,0
4,"['round-trip', 'San Francisco to Paris', 'departing in two weeks', 'returning after a 10-day stay']",Could you find a round-trip flight from San Francisco to Paris departing in two weeks and returning after a 10-day stay?,0
5,"['round-trip', 'San Francisco to Paris', 'departing in two weeks', 'returning after a 10-day stay', 'economy class']","Could you find a round-trip flight from San Francisco to Paris departing in two weeks, returning after a 10-day stay, and in economy class?",0
6,"['round-trip', 'San Francisco to Paris', 'departing in two weeks', 'returning after a 10-day stay', 'economy class', 'one layover maximum']","Could you find a round-trip flight from San Francisco to Paris departing in two weeks, returning after a 10-day stay, in economy class, with at most one layover?",0
7,"['round-trip', 'San Francisco to Paris', 'departing in two weeks', 'returning after a 10-day stay', 'economy class', 'one layover maximum', 'departure after 8 PM']","Could you find a round-trip flight from San Francisco to Paris departing in two weeks, returning after a 10-day stay, in economy class, with at most one layover, and departing after 8 PM?",0
8,"['round-trip', 'San Francisco to Paris', 'departing in two weeks', 'returning after a 10-day stay', 'economy class', 'one layover maximum', 'departure after 8 PM', 'maximum budget of $800']","Could you find a round-trip flight from San Francisco to Paris departing in two weeks, returning after a 10-day stay, in economy class, with at most one layover, departing after 8 PM, and not exceeding a $800 budget?",0
3,"['one-way', 'Los Angeles to Tokyo', 'flying after 8 PM']",Can you look for a one-way flight from Los Angeles to Tokyo that departs after 8 PM?,2
4,"['one-way', 'Los Angeles to Tokyo', 'flying after 8 PM', 'economy class']",Can you look for a one-way flight from Los Angeles to Tokyo in economy class that departs after 8 PM?,2
5,"['one-way', 'Los Angeles to Tokyo', 'flying after 8 PM', 'economy class', 'non-stop']",Can you look for a non-stop one-way flight from Los Angeles to Tokyo in economy class that departs after 8 PM?,2
6,"['one-way', 'Los Angeles to Tokyo', 'flying after 8 PM', 'economy class', 'non-stop', 'budget under $700']",Can you find a non-stop one-way flight from Los Angeles to Tokyo in economy class that departs after 8 PM and costs less than $700?,2
7,"['one-way', 'Los Angeles to Tokyo', 'flying after 8 PM', 'economy class', 'non-stop', 'budget under $700', 'departing next week']",Can you find a non-stop one-way flight from Los Angeles to Tokyo in economy class that departs next week after 8 PM and costs less than $700?,2
8,"['one-way', 'Los Angeles to Tokyo', 'flying after 8 PM', 'economy class', 'non-stop', 'budget under $700', 'departing next week', 'eco-friendly option']","Can you find an eco-friendly, non-stop one-way flight from Los Angeles to Tokyo in economy class that departs next week after 8 PM and costs less than $700?",2
3,"['multi-city', 'New York to Rome to Barcelona', 'leaving next month']","I’m looking for a multi-city trip: New York to Rome and then Rome to Barcelona, leaving next month. Can you find that?",3
4,"['multi-city', 'New York to Rome to Barcelona', 'leaving next month', 'non-stop flights only']","I’m looking for a multi-city trip: New York to Rome and then Rome to Barcelona, leaving next month, and I want non-stop flights only. Can you find that?",3
