Question,Answer
((5 + 1 - 4 - 2) - (1 * -7 * 10 - 9)) =,79
((3 - 1 + -7 + 10) - (-10 + 2 + 4 * 9)) =,-23
((-3 - 4 + -3 * 1) - (2 + -6 + -8 - -6)) =,-4
((-10 + 7 + -3 - 10) - (-10 * -2 + 5 + -7)) =,-34
((-3 + -7 - 5 - 6) - (7 - -8 * -5 + 9)) =,3
((10 - 1 - 10 * -10) - (9 + 4 + 5 * -2)) =,106
((9 - 4 - -8 * 5) - (-5 * -8 * -7 + -4)) =,329
((-7 * 10 - 10 + 3) - (9 - 3 + 6 * 8)) =,-131
((6 * 1 + -7 + 1) - (-4 - -3 * 10 * 4)) =,-116
((2 * 4 + -2 - 2) - (-10 * 4 - 1 + -4)) =,49
((4 + 10 + 6 * -5) - (1 + 6 - 6 - 5)) =,-12
((7 + 1 * -10 + 1) - (10 - 3 * -9 - 8)) =,-31
((-3 * -2 * -8 * 5) - (-3 - 5 * 10 + 1)) =,-188
((-3 + -5 - 1 + -10) - (7 - 2 + -2 * 5)) =,-14
((-3 * -2 - 7 * -3) - (-9 + 4 - 1 - 1)) =,34
((-3 * -9 * 9 * 9) - (-9 * -9 - -10 + 10)) =,2086
((-2 + 3 - 3 - 3) - (1 * 4 + -3 + 3)) =,-9
((-2 * 4 + 3 * -4) - (-9 * 9 + 8 * 4)) =,29
((2 + 8 + -7 - 10) - (7 * -4 - 4 - -9)) =,16
((-6 - 1 * 4 * -2) - (-4 * -5 + 1 + -4)) =,-15
((-8 + -9 * 2 * -2) - (-4 - 1 + -1 + 2)) =,32
((-3 - -9 + 7 + -9) - (5 * -1 * -8 + -4)) =,-32
((1 - -9 + -4 + -7) - (1 - -3 - 1 - 2)) =,-2
((9 * -7 * -1 - 10) - (1 * 5 + -10 - 1)) =,59
((7 * 3 - -3 - 1) - (5 + 3 + 6 + 8)) =,1
((-9 * 1 + 1 + 6) - (-6 + -7 + -8 + 4)) =,15
((-4 - 6 - 2 - 3) - (4 - 4 - 1 * 4)) =,-11
((-7 + 9 + 6 + -10) - (-6 - -10 + 9 * 5)) =,-51
((-6 * -9 * 10 - 10) - (-9 + 7 - -7 + -10)) =,535
((10 - -8 * -7 * -7) - (3 + 8 - -5 * 1)) =,386
((1 - -4 * 8 * -7) - (8 - 3 + 1 - -4)) =,-233
((-8 - 8 * -2 - 8) - (-2 * -4 * -6 + 1)) =,47
((-6 - 9 * -5 - 9) - (-10 + -8 - -8 * -7)) =,104
((2 * 7 + -2 * 9) - (3 - 2 - -2 - 8)) =,1
((1 - -9 + 4 - 6) - (-3 - 8 - 1 * -4)) =,15
((-2 + -5 + -2 - 9) - (3 + -9 - 3 - 8)) =,-1
((9 + -9 - -9 + -2) - (-10 - 8 + -10 + 10)) =,25
((10 + 6 * -1 + -8) - (-7 * 8 + -10 * 8)) =,132
((-6 * -9 - 5 - -5) - (6 - 6 - 5 * -8)) =,14
((-9 - 8 + 8 * -2) - (9 * -10 + -4 * 8)) =,89
((1 - 6 * 10 * -5) - (9 - -4 - -10 - -1)) =,277
((-8 + -6 - 10 + -8) - (-8 - -3 + 1 + 2)) =,-30
((6 + -3 + -5 + 2) - (4 + 1 + -9 * 1)) =,4
((-1 - -2 * -1 + 7) - (6 * 9 + -10 - 4)) =,-36
((6 + 8 * 1 * -5) - (2 * -5 * -7 - 7)) =,-97
((5 - 8 * 6 + -5) - (-6 + -8 - 10 * -1)) =,-44
((-1 * -8 * -1 - 1) - (-7 - -2 - 6 + -9)) =,11
((-4 - 7 + 1 + -3) - (-5 + 1 * 1 * 10)) =,-18
((-5 + 7 * 4 - -3) - (-8 + -3 + -10 * -9)) =,-53
((1 * 6 * -1 - -5) - (-1 * -10 - -5 - -6)) =,-22
((7 - -10 * 9 + 2) - (-8 - -6 * -4 * 1)) =,131
((-9 - 10 * -3 - -1) - (8 * 8 - -2 - 1)) =,-43
((-1 - -5 * -6 - 9) - (3 * 7 + -3 * -2)) =,-67
((6 + -8 + -9 * 6) - (-7 * -5 * -8 + -3)) =,227
((1 - -8 + 7 + 4) - (10 + -9 - 10 - -5)) =,24
((-3 * 7 - 6 + -6) - (-3 + -6 + -4 - 2)) =,-18
((9 + 7 + 7 + -3) - (6 - 2 - 9 * 9)) =,97
((-9 + 1 + 9 * -2) - (9 - 10 + 8 - -8)) =,-41
((-2 * -9 + 1 + 3) - (-8 * 9 + -7 + 8)) =,93
((-2 * -7 + -8 + 8) - (2 + -10 - -5 + 1)) =,16
((1 - 3 + -8 + -1) - (8 + 7 - -2 + 3)) =,-31
((3 * 1 - -2 + -6) - (-5 + 6 + 5 * 7)) =,-37
((3 - -1 - 7 * 4) - (10 - -10 - -6 - 8)) =,-42
((-6 - 10 - -6 * 9) - (9 + -4 - 2 - -6)) =,29
((6 + 7 + -2 - -9) - (6 + 6 - 6 * -5)) =,-22
((-8 - 5 - 9 * -5) - (9 * 3 * -10 + -5)) =,307
((7 * 4 * -3 + 3) - (-8 - -3 + -5 + 6)) =,-77
((-2 * 9 - -5 * 7) - (-1 - -10 * 6 - 1)) =,-41
((-4 + 7 - -5 - -9) - (2 + -7 - 5 + -5)) =,32
((10 * 1 * 9 - 5) - (1 - -6 - 5 * 4)) =,98
((1 - -2 + 1 + -10) - (-3 + 7 - 5 * 1)) =,-5
((2 - 5 + -4 + -7) - (8 + -7 + 7 + 2)) =,-24
((-8 - 6 + 1 * -1) - (-6 - 10 + -6 + -3)) =,10
